catalog,number,species,location,sex,coords.1.X,coords.1.Y,coords.2.X,coords.2.Y,coords.3.X,coords.3.Y,coords.4.X,coords.4.Y,coords.5.X,coords.5.Y,coords.6.X,coords.6.Y,coords.7.X,coords.7.Y,coords.8.X,coords.8.Y,coords.9.X,coords.9.Y,Csize
UCSB,IZC00012456,tripartitus,mainland,unknown,0.33726317,-0.252813528,0.343817475,-0.071655792,0.147072494,0.117635634,0.108583093,0.207503269,-0.16110759,0.281675789,-0.278067333,0.403720199,-0.139099794,-0.117862003,-0.190741141,-0.239205206,-0.167720373,-0.328998362,1.696092502
UCSB,IZC00012460,tripartitus,mainland,female,0.350361496,-0.255285438,0.347026944,-0.071326705,0.144101125,0.114363961,0.110083259,0.200580065,-0.172042806,0.279869848,-0.279685716,0.399102177,-0.127257869,-0.114633269,-0.187131288,-0.230345875,-0.185455145,-0.322324765,1.468159912
UCSB,IZC00012463,tripartitus,mainland,female,0.340393482,-0.259261681,0.35306794,-0.073063915,0.160073871,0.12776524,0.140045066,0.214456301,-0.16926514,0.265263991,-0.299111729,0.372099364,-0.13701351,-0.105430127,-0.202192833,-0.227385404,-0.185997147,-0.31444377,1.518561201
UCSB,IZC00012472,tripartitus,mainland,female,0.332723595,-0.258315352,0.344773524,-0.068271866,0.142486253,0.110568126,0.112845222,0.206363558,-0.163007518,0.283708879,-0.287239061,0.405346456,-0.124052641,-0.113609923,-0.182112428,-0.231293792,-0.176416945,-0.334496087,1.501696833
UCSB,IZC00012477,tripartitus,mainland,female,0.335071654,-0.249832869,0.357665818,-0.068392401,0.152682721,0.110199204,0.109676516,0.209153271,-0.170647014,0.276741023,-0.277974351,0.395777629,-0.130303532,-0.115339843,-0.198361127,-0.226955282,-0.177810685,-0.331350732,1.648791904
UCSB,IZC00012480,tripartitus,mainland,female,0.342744872,-0.249848463,0.339849308,-0.065512671,0.152613417,0.115927829,0.110497619,0.209518242,-0.158868138,0.275679701,-0.27660699,0.401953465,-0.136718172,-0.1216004,-0.204134869,-0.23605879,-0.169377048,-0.330058914,1.635219702
UCSB,IZC00014644,tripartitus,mainland,female,0.330466281,-0.260142191,0.350041319,-0.068799428,0.153349209,0.112866975,0.098165892,0.216420614,-0.168006283,0.271459121,-0.275007441,0.409037461,-0.130440834,-0.115999439,-0.191771272,-0.23543239,-0.166796871,-0.329410724,1.548634694
UCSB,IZC00014900,tripartitus,mainland,unknown,0.338474467,-0.263398597,0.349056875,-0.07055934,0.15224876,0.118826429,0.103877849,0.21262791,-0.166690268,0.274641286,-0.27888018,0.398176667,-0.137828328,-0.111935357,-0.190022838,-0.232543499,-0.170236337,-0.3258355,1.665289712
UCSB,IZC00014942,tripartitus,mainland,unknown,0.331896473,-0.255458215,0.343890135,-0.07032921,0.150706119,0.120751773,0.106873053,0.208138363,-0.162570815,0.282195244,-0.278250575,0.404786392,-0.134570615,-0.122691538,-0.190975934,-0.240291201,-0.166997841,-0.327101608,1.735652481
UCSB,IZC00014982,tripartitus,mainland,unknown,0.341403675,-0.246946397,0.351147405,-0.068329563,0.142974773,0.123388591,0.110407896,0.201782451,-0.165016475,0.28242386,-0.26920334,0.396140944,-0.134277157,-0.117390341,-0.197879034,-0.242728888,-0.179557743,-0.328340658,1.647396424
UCSB,IZC00015024,tripartitus,mainland,female,0.331206382,-0.253400612,0.349175854,-0.066033769,0.155940091,0.108355203,0.102419486,0.202820782,-0.154612829,0.276379565,-0.293612691,0.410991371,-0.128336901,-0.122587117,-0.184317239,-0.223513347,-0.177862153,-0.333012076,1.54142306
UCSB,IZC00015026,tripartitus,mainland,unknown,0.337133462,-0.24921695,0.346899422,-0.0743908,0.13724765,0.111816401,0.113405957,0.212289622,-0.159160271,0.273685281,-0.281238237,0.412064037,-0.135712928,-0.122174518,-0.188087997,-0.240498725,-0.170487059,-0.323574347,1.713869415
UCSB,IZC00015151,tripartitus,mainland,female,0.343566466,-0.257760316,0.349450851,-0.072152236,0.15487871,0.11921788,0.102256493,0.200432659,-0.173029818,0.279792824,-0.277926409,0.397684671,-0.132665324,-0.113262767,-0.191118821,-0.225087204,-0.175412148,-0.328865511,1.604071546
UCSB,IZC00015171,tripartitus,mainland,female,0.330961195,-0.232700935,0.364092442,-0.072841343,0.157255195,0.10472359,0.109927132,0.201103658,-0.169678716,0.275119584,-0.280824228,0.403967984,-0.132454264,-0.117340343,-0.19733192,-0.236939286,-0.181946836,-0.325092907,1.488417904
UCSB,IZC00015180,tripartitus,mainland,female,0.328509353,-0.260667092,0.342770548,-0.072212964,0.153535318,0.12290472,0.10793731,0.213139179,-0.163604853,0.272263227,-0.284756353,0.40738466,-0.124249704,-0.119430631,-0.191583894,-0.232758443,-0.168557724,-0.330622655,1.580131139
UCSB,IZC00015229,tripartitus,mainland,female,0.335182442,-0.256229418,0.342481309,-0.074420935,0.131144593,0.125587712,0.105943138,0.207010674,-0.148589255,0.279903976,-0.280471477,0.414169975,-0.13710916,-0.12470985,-0.183449291,-0.241651097,-0.1651323,-0.329661038,1.706595602
UCSB,IZC00022211,tripartitus,mainland,female,0.358407425,-0.262478029,0.346773629,-0.082320059,0.136039715,0.113983594,0.102941649,0.208576478,-0.169293833,0.27719,-0.279968299,0.400881827,-0.134974984,-0.114658166,-0.192217423,-0.226807586,-0.167707881,-0.314368058,1.496393898
UCSB,IZC00022218,tripartitus,mainland,female,0.337596226,-0.248551759,0.339287441,-0.062149203,0.15102601,0.115622343,0.117320899,0.205685495,-0.1616568,0.277258337,-0.277895508,0.402591221,-0.130675511,-0.113122168,-0.197450196,-0.243698359,-0.177552561,-0.333635907,1.684526724
UCSB,IZC00022219,tripartitus,mainland,female,0.335036929,-0.252518055,0.348194809,-0.071227403,0.146889398,0.111833457,0.116481003,0.203994754,-0.168923553,0.282768206,-0.284631216,0.403742213,-0.131994804,-0.123610586,-0.190184653,-0.231361031,-0.170867914,-0.323621554,1.591261895
UCSB,IZC00035287,tripartitus,mainland,female,0.338575285,-0.248159886,0.353895342,-0.066107751,0.151136256,0.111826356,0.106514025,0.212260648,-0.164487315,0.280837401,-0.2719264,0.39116933,-0.133284207,-0.114200692,-0.2018428,-0.230569135,-0.178580187,-0.337056271,1.655592626
UCSB,IZC00012318,tripartitus,mainland,female,0.34614972,-0.262018608,0.346339876,-0.07516882,0.141920846,0.112734745,0.110727249,0.203233907,-0.170747653,0.270308157,-0.288554858,0.409499578,-0.127175779,-0.114438997,-0.185619367,-0.218385297,-0.173040033,-0.325764663,1.340150513
UCSB,IZC00020055,tripartitus,mainland,female,0.340568056,-0.255624331,0.342636394,-0.077205953,0.137326361,0.118179446,0.11284847,0.20586402,-0.15215735,0.278124471,-0.292680845,0.407209367,-0.127583494,-0.115460424,-0.190917036,-0.238542505,-0.170040556,-0.322544092,1.597050759
UCSB,IZC00021378,tripartitus,mainland,female,0.338178281,-0.256594069,0.345822665,-0.073883728,0.1350821,0.121552064,0.113600294,0.20858327,-0.159558405,0.284609917,-0.280301031,0.400916295,-0.133505431,-0.122016597,-0.188608318,-0.238143044,-0.170710155,-0.325024109,1.621634745
UCSB,IZC00021402,tripartitus,mainland,female,0.329757274,-0.225013885,0.358662682,-0.073137256,0.152491131,0.115515548,0.119019817,0.207912785,-0.159613515,0.27837761,-0.275416629,0.396036766,-0.135502115,-0.123763567,-0.204849353,-0.249079491,-0.184549292,-0.326848509,1.671524719
UCSB,IZC00026445,tripartitus,mainland,female,0.342075713,-0.255778299,0.341074425,-0.065334573,0.146106125,0.124285062,0.097599456,0.211345448,-0.156314398,0.280522873,-0.266541753,0.402417512,-0.137781358,-0.122353281,-0.189692354,-0.243148276,-0.176525856,-0.331956466,1.651503517
UCSB,IZC00028329,tripartitus,mainland,female,0.332087233,-0.2545478,0.338072511,-0.07212968,0.141343197,0.122941349,0.11397813,0.203893662,-0.156543195,0.277057163,-0.285458115,0.41161453,-0.121144731,-0.107849822,-0.194847557,-0.250013985,-0.167487473,-0.330965417,1.784050024
UCSB,IZC00028368,tripartitus,mainland,female,0.33505484,-0.25198423,0.339119646,-0.073469849,0.143139651,0.115875774,0.112999739,0.208147717,-0.159505938,0.281970712,-0.283022515,0.408323563,-0.131219764,-0.117256446,-0.186217235,-0.239544964,-0.170348424,-0.332062277,1.667231542
UCSB,IZC00028538,tripartitus,mainland,female,0.339794223,-0.253206392,0.342215633,-0.06887552,0.140469274,0.111553695,0.108849852,0.210734099,-0.160199196,0.280111393,-0.277055152,0.406749273,-0.132470834,-0.115316277,-0.186780306,-0.239706025,-0.174823495,-0.332044245,1.807794588
UCSB,IZC00028900,tripartitus,mainland,female,0.341198299,-0.252879431,0.342816057,-0.073616617,0.143779527,0.105747567,0.107674168,0.210671379,-0.169334238,0.277013407,-0.279271932,0.412530187,-0.126756677,-0.12125593,-0.190469846,-0.233266145,-0.169635358,-0.324944417,1.665832374
UCSB,IZC00030018,tripartitus,mainland,female,0.341523088,-0.246075274,0.342642387,-0.072854697,0.134155418,0.122608566,0.111211039,0.212488943,-0.153185812,0.280855528,-0.270394139,0.401856394,-0.136604015,-0.119436814,-0.196118982,-0.246584825,-0.173228987,-0.332857821,1.710971715
UCSB,IZC00030022,tripartitus,mainland,female,0.333033665,-0.263291963,0.335414816,-0.078853173,0.137998508,0.118822584,0.108846023,0.219599017,-0.160093923,0.283588218,-0.283971968,0.408064083,-0.122450373,-0.121731768,-0.183219731,-0.236311669,-0.165557017,-0.32988533,1.545089658
UCSB,IZC00030025,tripartitus,mainland,female,0.342431869,-0.248430872,0.345331481,-0.069353295,0.145993122,0.116315734,0.111017959,0.209761032,-0.166472273,0.280595381,-0.270714598,0.398382672,-0.13643659,-0.117944458,-0.191483611,-0.239786405,-0.179667358,-0.32953979,1.752544757
UCSB,IZC00030060,tripartitus,mainland,female,0.315241947,-0.254509974,0.334529767,-0.076201617,0.145912246,0.128208903,0.123602479,0.214905174,-0.164861408,0.280505394,-0.282770208,0.411845614,-0.125949179,-0.11957883,-0.18048143,-0.248771283,-0.165224214,-0.336403381,1.655845394
UCSB,IZC00030073,tripartitus,mainland,female,0.324499262,-0.254518131,0.35171053,-0.067430809,0.147879251,0.126501047,0.110842421,0.217933184,-0.169039791,0.284038011,-0.263320487,0.39523844,-0.141518212,-0.128695278,-0.195486665,-0.242728806,-0.16556631,-0.330337659,1.619974581
UCSB,IZC00030096,tripartitus,mainland,female,0.348759063,-0.254177238,0.348807667,-0.069663989,0.148090254,0.119066864,0.113440505,0.209895527,-0.163342891,0.270924474,-0.278714644,0.392457816,-0.137683743,-0.109378285,-0.200608985,-0.23778674,-0.178747227,-0.32133843,1.777851847
UCSB,IZC00030113,tripartitus,mainland,female,0.3460467,-0.24564003,0.354353972,-0.0689339,0.139897152,0.11378524,0.110648904,0.21011498,-0.14939613,0.277289075,-0.280706769,0.394069604,-0.138864208,-0.11931572,-0.202220234,-0.237917994,-0.179759386,-0.323451257,1.663322643
UCSB,IZC00030127,tripartitus,mainland,female,0.353619417,-0.244949556,0.346378232,-0.070803731,0.143647582,0.117399221,0.122252843,0.199129713,-0.162124471,0.273533627,-0.283057596,0.394275665,-0.136938269,-0.110288606,-0.200812819,-0.231177125,-0.182964919,-0.327119209,1.63577557
UCSB,IZC00030140,tripartitus,mainland,female,0.34863313,-0.256381147,0.34063787,-0.06912671,0.137542883,0.126716716,0.104738614,0.21688309,-0.14428025,0.269980311,-0.275207264,0.401950953,-0.140837048,-0.12236779,-0.198406855,-0.241937343,-0.172821079,-0.325718079,1.7070227
UCSB,IZC00030158,tripartitus,mainland,female,0.337576203,-0.257386767,0.330728649,-0.07399851,0.140099905,0.123702818,0.113803772,0.211455226,-0.148673351,0.28433672,-0.288492968,0.405322147,-0.127207528,-0.121117081,-0.185009764,-0.242153659,-0.172824919,-0.330160894,1.65766317
UCSB,IZC00030166,tripartitus,mainland,female,0.342595721,-0.253810569,0.339320951,-0.075746868,0.133458396,0.11736471,0.106910054,0.206934077,-0.147749135,0.283621422,-0.287459218,0.407669957,-0.124322092,-0.11558445,-0.187573759,-0.242371807,-0.175180918,-0.328076471,1.643705331
UCSB,IZC00030174,tripartitus,mainland,female,0.32163298,-0.260977776,0.331110082,-0.079823122,0.142300081,0.12733317,0.119862442,0.206927231,-0.167640736,0.281896104,-0.287869749,0.418693511,-0.122769583,-0.121386507,-0.179635057,-0.240229659,-0.15699046,-0.332432951,1.399001273
UCSB,IZC00030209,tripartitus,mainland,female,0.317231269,-0.253740263,0.336993156,-0.074848346,0.146960098,0.131131968,0.120473983,0.207322621,-0.167857194,0.283772456,-0.279780567,0.409403539,-0.121878184,-0.11656748,-0.185793941,-0.250027954,-0.166348619,-0.33644654,1.708484478
UCSB,IZC00030248,tripartitus,mainland,female,0.333446405,-0.265440546,0.335944373,-0.077432214,0.143298359,0.120681655,0.105925965,0.217799173,-0.161199602,0.281908239,-0.286141944,0.40772438,-0.119153644,-0.121475226,-0.17841495,-0.241234092,-0.173704961,-0.322531369,1.587022244
UCSB,IZC00030265,tripartitus,mainland,female,0.336583751,-0.251674105,0.350691234,-0.071255329,0.146099717,0.120577651,0.116538067,0.204584916,-0.163481938,0.276327833,-0.282578945,0.400388346,-0.136828548,-0.120380713,-0.194747625,-0.233878341,-0.172275714,-0.324690257,1.672970063
UCSB,IZC00030277,tripartitus,mainland,female,0.336946205,-0.256764823,0.343926245,-0.076779582,0.132304876,0.125994645,0.108052608,0.218388186,-0.156861178,0.277438672,-0.272285882,0.404382002,-0.134865165,-0.119181175,-0.188942765,-0.24220203,-0.168274945,-0.331275894,1.71364329
UCSB,IZC00030303,tripartitus,mainland,female,0.347380877,-0.250607045,0.348944316,-0.074978585,0.144772382,0.120885188,0.114370449,0.205033311,-0.161394093,0.273427867,-0.282944898,0.396413255,-0.135238722,-0.113689239,-0.199625725,-0.234615612,-0.176264587,-0.32186914,1.698843885
UCSB,IZC00030326,tripartitus,mainland,female,0.342958256,-0.256540392,0.33249841,-0.068204824,0.151133134,0.1166453,0.105795236,0.214300328,-0.159272647,0.27708006,-0.277855104,0.406124632,-0.127884084,-0.120519644,-0.194149649,-0.242589529,-0.173223552,-0.326295931,1.677063479
UCSB,IZC00030330,tripartitus,mainland,female,0.339486283,-0.259813952,0.348201835,-0.069106759,0.141921887,0.12213891,0.087940946,0.221814727,-0.150965603,0.281148478,-0.265725594,0.399139347,-0.135595013,-0.123408816,-0.193639505,-0.23889486,-0.171625235,-0.333017075,1.662092182
UCSB,IZC00030349,tripartitus,mainland,female,0.349557494,-0.253451946,0.357506833,-0.081753989,0.14230422,0.118883508,0.096866077,0.212990028,-0.15229576,0.267044664,-0.286009014,0.399755579,-0.131001819,-0.115848309,-0.198287843,-0.233827925,-0.178640187,-0.313791609,1.60330267
UCSB,IZC00030351,tripartitus,mainland,female,0.330614337,-0.251726736,0.344960868,-0.075453568,0.14753932,0.124351527,0.108958067,0.214253125,-0.160704493,0.281261666,-0.277699911,0.39979599,-0.127728657,-0.12164181,-0.193621465,-0.236625124,-0.172318067,-0.334215069,1.646027458
UCSB,IZC00030355,tripartitus,mainland,female,0.32635161,-0.257339413,0.341426887,-0.074789526,0.142962405,0.126500771,0.112580421,0.216321761,-0.152338535,0.280232623,-0.285856789,0.405246338,-0.127647439,-0.126608929,-0.190507572,-0.243341183,-0.166970989,-0.326222442,1.697427263
UCSB,IZC00030373,tripartitus,mainland,female,0.329641532,-0.254213562,0.333789676,-0.075660175,0.141224699,0.116167788,0.109112517,0.218614909,-0.154310531,0.282832348,-0.282853419,0.41303244,-0.123958898,-0.123806781,-0.184649979,-0.247164116,-0.167995597,-0.329802851,1.678635212
UCSB,IZC00030379,tripartitus,mainland,female,0.331754589,-0.233378305,0.363678439,-0.085732691,0.147868111,0.107749094,0.109860393,0.214955785,-0.159541447,0.273438725,-0.2860257,0.401307492,-0.13228198,-0.117475369,-0.196321461,-0.240582144,-0.178990944,-0.320282587,1.557978438
UCSB,IZC00030381,tripartitus,mainland,female,0.343168156,-0.252202812,0.343254776,-0.069805861,0.147377898,0.1174961,0.114741011,0.215359808,-0.160263812,0.273504464,-0.278105239,0.397140943,-0.13845901,-0.117968068,-0.195392587,-0.235239653,-0.176321193,-0.32828492,1.68477749
UCSB,IZC00030392,tripartitus,mainland,female,0.318954499,-0.244865898,0.329702552,-0.066566698,0.147982462,0.135648812,0.11784233,0.213282412,-0.148199077,0.285907844,-0.272295655,0.408077817,-0.136741715,-0.131070657,-0.183506693,-0.259319685,-0.173738703,-0.341093947,1.71105383
UCSB,IZC00030405,tripartitus,mainland,female,0.328577093,-0.248734003,0.338217242,-0.068470835,0.142899855,0.120819665,0.112399017,0.211838719,-0.161248131,0.286224875,-0.270149219,0.407065606,-0.129916991,-0.122457398,-0.190260364,-0.251029325,-0.170518503,-0.335257303,1.657168865
UCSB,IZC00030428,tripartitus,mainland,female,0.33754891,-0.248864517,0.34467576,-0.066744126,0.145009919,0.119793023,0.117441088,0.207884049,-0.14796782,0.271795346,-0.286994926,0.399862481,-0.133447088,-0.106748673,-0.197439074,-0.24155804,-0.178826768,-0.335419543,1.502388514
UCSB,IZC00030439,tripartitus,mainland,female,0.340798371,-0.260546336,0.339853072,-0.065934198,0.136796052,0.131804115,0.116672662,0.212623262,-0.167177111,0.279600107,-0.262346027,0.397331959,-0.142805592,-0.121851209,-0.196537488,-0.242099434,-0.165253939,-0.330928266,1.525414068
UCSB,IZC00030444,tripartitus,mainland,female,0.353434209,-0.248678078,0.354964191,-0.063582122,0.143284793,0.116824409,0.096885387,0.208906002,-0.149448664,0.271480211,-0.271795543,0.397059237,-0.139193504,-0.123529237,-0.20165725,-0.237114476,-0.186473619,-0.321365945,1.675398763
UCSB,IZC00030461,tripartitus,mainland,female,0.326170032,-0.258958496,0.344044048,-0.073031766,0.131752928,0.127701542,0.104478128,0.224990673,-0.145801882,0.28287468,-0.273902737,0.403953553,-0.131069244,-0.126514702,-0.191115158,-0.246966458,-0.164556116,-0.334049026,1.724969975
UCSB,IZC00030468,tripartitus,mainland,female,0.346980995,-0.24566423,0.349505364,-0.067063032,0.145615236,0.116639584,0.108795279,0.211221285,-0.159166705,0.271118468,-0.270221785,0.397124689,-0.138653484,-0.112999483,-0.203045196,-0.240280165,-0.179809704,-0.330097116,1.675277073
UCSB,IZC00030472,tripartitus,mainland,female,0.344192922,-0.250450464,0.349238751,-0.073401363,0.144653077,0.118373462,0.106721216,0.20973976,-0.15813806,0.280087971,-0.279366615,0.395785981,-0.130874496,-0.120983689,-0.19798524,-0.234538623,-0.178441555,-0.324613035,1.577131969
UCSB,IZC00030486,tripartitus,mainland,female,0.338359828,-0.249435797,0.344736158,-0.071552604,0.148840273,0.114060339,0.10547788,0.214320842,-0.152931647,0.281082982,-0.282623229,0.400115257,-0.130065299,-0.125585026,-0.195481288,-0.233791309,-0.176312675,-0.329214685,1.676138775
UCSB,IZC00030496,tripartitus,mainland,female,0.339392792,-0.252585183,0.349655666,-0.068560306,0.144623447,0.126880418,0.116681499,0.218372842,-0.159747721,0.270319234,-0.273529798,0.392811006,-0.139475169,-0.123591442,-0.195950337,-0.239807245,-0.181650379,-0.323839324,1.682330006
UCSB,IZC00030503,tripartitus,mainland,female,0.325072824,-0.253552829,0.333037891,-0.067078308,0.144409622,0.12664287,0.112951765,0.215671824,-0.153908429,0.284584037,-0.273637821,0.408190548,-0.133444608,-0.127966163,-0.18754991,-0.248308359,-0.166931335,-0.338183619,1.695421375
UCSB,IZC00030505,tripartitus,mainland,female,0.34763456,-0.246053904,0.346426095,-0.072360673,0.140266298,0.118895966,0.101024258,0.215906863,-0.155590619,0.277748993,-0.264915263,0.398396689,-0.140682868,-0.119668812,-0.197853432,-0.238226792,-0.176309028,-0.334638331,1.642011029
UCSB,IZC00030508,tripartitus,mainland,female,0.337950313,-0.247114511,0.346935676,-0.066298895,0.153785557,0.120179426,0.122753902,0.205639904,-0.156739959,0.275960343,-0.286745442,0.394381069,-0.139611606,-0.121509456,-0.20116938,-0.241471882,-0.177159062,-0.319765999,1.639066438
UCSB,IZC00030520,tripartitus,mainland,female,0.348643531,-0.252577564,0.353470903,-0.072640606,0.139368685,0.106112273,0.099778774,0.209558585,-0.15627039,0.272919268,-0.279780057,0.406862729,-0.138261338,-0.108886122,-0.194971074,-0.24858316,-0.171979036,-0.312765403,1.666841435
UCSB,IZC00030540,tripartitus,mainland,female,0.355499864,-0.244104894,0.347912727,-0.070067376,0.141705556,0.115446123,0.105529327,0.207363935,-0.155994761,0.275621145,-0.270676798,0.395982223,-0.142377162,-0.112203018,-0.198119233,-0.240295554,-0.18347952,-0.327742583,1.606806689
UCSB,IZC00030912,tripartitus,mainland,female,0.327729868,-0.248884045,0.347726925,-0.063265627,0.146279076,0.126801841,0.118267052,0.216693502,-0.159138241,0.273941176,-0.267959024,0.39776523,-0.140399306,-0.120988951,-0.202068739,-0.246138817,-0.170437609,-0.33592431,1.603711101
UCSB,IZC00031075,tripartitus,mainland,female,0.351300936,-0.253421387,0.344487561,-0.065427305,0.142445396,0.115769686,0.117337292,0.206200545,-0.164478723,0.275504781,-0.276282941,0.395046996,-0.136417486,-0.114979598,-0.201740553,-0.230517599,-0.176651484,-0.328176118,1.617822625
UCSB,IZC00033295,tripartitus,mainland,female,0.345636782,-0.247405893,0.34045443,-0.067660002,0.151592324,0.110457765,0.113463235,0.198564801,-0.171929178,0.281872638,-0.275518389,0.404225466,-0.137254832,-0.113910317,-0.191158743,-0.236591486,-0.175285629,-0.329552972,1.561855207
UCSB,IZC00034049,tripartitus,mainland,female,0.332100876,-0.246686672,0.351100387,-0.063735401,0.146145612,0.116439724,0.111211528,0.21842061,-0.158279357,0.274810685,-0.269135715,0.398532897,-0.136190352,-0.120212725,-0.20072432,-0.243997173,-0.17622866,-0.333571946,1.803399073
UCSB,IZC00034080,tripartitus,mainland,female,0.359310051,-0.252929588,0.349197564,-0.078033627,0.141060557,0.107335838,0.100727778,0.207838327,-0.166803746,0.276138197,-0.277827398,0.398805033,-0.1318851,-0.109839578,-0.195235352,-0.226777576,-0.178544353,-0.322537026,1.467082641
UCSB,IZC00034598,tripartitus,mainland,female,0.341147018,-0.252947779,0.34479406,-0.06432535,0.142363379,0.128605182,0.114118843,0.213570681,-0.159919224,0.269392173,-0.266863323,0.399281162,-0.139681805,-0.119387213,-0.200421308,-0.246422882,-0.175537639,-0.327765974,1.663996871
UCSB,IZC00034772,tripartitus,mainland,female,0.348750063,-0.254505811,0.35591799,-0.066552069,0.15489708,0.124101757,0.122678801,0.217902435,-0.162646671,0.260902797,-0.281325428,0.377451181,-0.143142575,-0.109855636,-0.208659894,-0.225856437,-0.186469367,-0.323588218,1.689187898
UCSB,IZC00035244,tripartitus,mainland,female,0.338792123,-0.244179162,0.348817661,-0.059938265,0.153760528,0.114206478,0.107626519,0.210628363,-0.157725918,0.269876258,-0.271555393,0.401622339,-0.137163614,-0.119804668,-0.200629899,-0.234819043,-0.181922008,-0.337592301,1.72319289
